Name,Birthdate,Age,Score,Is_Passed,Category,Complex_Number
Eve,1990-02-14,37,63.4,True,A,(1.0867493754731925+6.21448584486222j)
Alice,1990-02-15,57,16.79,False,B,(3.2383700391843693+4.040263375394673j)
Bob,1990-02-16,21,55.32,True,D,(6.354086297461483+4.5407304305516245j)
Charlie,1990-02-17,34,24.51,False,D,(2.3420912841477612+2.3185644515734447j)
David,1990-02-18,50,39.21,False,C,(1.1600400698185553+6.297305164471141j)
Eve,1990-02-19,41,96.4,False,C,(4.153833871286719+8.917692807324443j)
Alice,1990-02-20,44,50.81,False,B,(9.795315604705067+4.393883615083163j)
Bob,1990-02-21,55,98.55,True,D,(4.6221555774231895+1.4856377706403812j)
Charlie,1990-02-22,25,71.88,False,C,(9.001637320817702+6.003465266480334j)
David,1990-02-23,44,48.52,True,D,(8.101191281657101+1.7539754148442115j)
Eve,1990-02-24,50,46.49,True,D,(5.477489202329737+4.345287256337513j)
Alice,1990-02-25,26,63.18,True,B,(5.547135646622211+9.925133934803384j)
Bob,1990-02-26,60,3.82,True,D,(7.729767983368886+4.309183231503593j)
Charlie,1990-02-27,65,11.97,False,D,(4.763763791910106+1.6406459220647398j)
David,1990-02-28,64,87.24,False,A,(9.906493319034851+5.134303851351788j)
Eve,1990-03-01,48,29.22,False,B,(8.06432973218694+5.938875622237455j)
Alice,1990-03-02,68,95.42,False,D,(3.938346062704832+8.631578134581503j)
Bob,1990-03-03,53,87.51,True,A,(8.8497628512975+3.2878833953667033j)
Charlie,1990-03-04,62,21.64,True,D,(6.334795388539563+4.376531089497115j)
David,1990-03-05,46,2.24,True,A,(1.406571649376515+4.129282263534929j)
Eve,1990-03-06,46,94.76,False,C,(4.801639092669982+4.276317015221821j)
Alice,1990-03-07,22,92.4,True,D,(3.582777204849485+5.173746475852264j)
Bob,1990-03-08,48,51.16,False,C,(4.514083432488446+9.237084949296388j)
Charlie,1990-03-09,64,16.96,False,C,(3.3560465130641353+3.081658811715097j)
David,1990-03-10,48,67.62,False,C,(2.1432603435358923+1.0401931641712046j)
Eve,1990-03-11,39,13.72,False,D,(6.393565817810419+4.041565998239625j)
Alice,1990-03-12,20,73.25,True,D,(1.3860889906417593+9.125990507491045j)
Bob,1990-03-13,27,90.84,True,B,(2.736879967067553+4.727342738231645j)
Charlie,1990-03-14,32,15.53,True,A,(1.9546285145131024+6.296303951133782j)
David,1990-03-15,49,56.6,True,C,(3.340895309185953+9.091905395496203j)
Eve,1990-03-16,61,30.68,True,D,(2.5189976808441368+1.0910202578970196j)
Alice,1990-03-17,68,69.27,True,B,(4.083088102607734+9.321514120555593j)
Bob,1990-03-18,58,66.04,True,D,(4.475096663077288+6.178248315007501j)
Charlie,1990-03-19,23,67.03,False,D,(8.384571650934898+3.0633919234313978j)
David,1990-03-20,42,18.11,True,B,(6.605374059375354+5.6515908399199875j)
Eve,1990-03-21,31,71.94,False,B,(2.9495958598415064+3.704753076921552j)
Alice,1990-03-22,18,2.8,False,D,(5.03636863453791+1.5639335528600227j)
Bob,1990-03-23,30,32.93,True,C,(2.1452606024141483+8.875528390642176j)
Charlie,1990-03-24,32,91.22,False,B,(6.696733931123582+2.9643650652748796j)
David,1990-03-25,42,7.87,False,C,(2.9500791747972563+2.7438046196168644j)
Eve,1990-03-26,30,36.73,False,B,(4.146017581590636+3.618062270526592j)
Alice,1990-03-27,62,15.11,False,A,(8.74409304901532+6.298418987260062j)
Bob,1990-03-28,46,42.6,True,A,(6.932041542717538+5.516549076435537j)
Charlie,1990-03-29,58,67.99,False,D,(3.8019668927052015+4.669840208390966j)
David,1990-03-30,48,49.02,True,C,(9.972391567310739+5.3330740337378995j)
Eve,1990-03-31,62,25.57,False,C,(1.0472789679796348+1.7192776736894777j)
Alice,1990-04-01,51,11.57,True,B,(3.1122994762947283+4.183112908175492j)
Bob,1990-04-02,47,33.91,True,C,(2.6623904824451223+1.3652493115750437j)
Charlie,1990-04-03,21,18.31,True,A,(1.1295624004458387+6.953683200374705j)
David,1990-04-04,61,33.45,False,D,(6.475260004468284+2.1633087554899673j)
Eve,1990-04-05,29,6.69,False,B,(8.426263621650367+1.847086679351011j)
Alice,1990-04-06,22,79.74,False,D,(5.486280542496099+8.654306093790115j)
Bob,1990-04-07,21,11.47,True,D,(4.354454222376523+3.1550604248099767j)
Charlie,1990-04-08,35,20.26,True,C,(2.171239552921195+4.189522656722062j)
David,1990-04-09,35,64.35,True,C,(6.776499063656969+5.700823181649469j)
Eve,1990-04-10,49,44.48,True,A,(9.446585224794099+2.2126406654405804j)
Alice,1990-04-11,68,23.04,False,C,(3.8269706794148104+8.003141112818419j)
Bob,1990-04-12,42,34.41,False,D,(9.534349710605253+6.320700704617066j)
Charlie,1990-04-13,23,74.48,False,B,(4.909977103630298+4.83507582887583j)
David,1990-04-14,51,81.56,False,B,(9.227872926485306+8.801408596433658j)
Eve,1990-04-15,19,26.69,True,A,(1.2690592373127139+6.573562253103607j)
Alice,1990-04-16,69,54.17,False,C,(7.090875566459903+8.684381247162857j)
Bob,1990-04-17,25,1.94,False,D,(4.893557653402028+9.175192287882867j)
Charlie,1990-04-18,69,90.62,True,A,(6.402568266730624+1.7121927477545853j)
David,1990-04-19,31,69.16,False,A,(4.719556169356376+6.370897972279755j)
Eve,1990-04-20,46,14.74,False,B,(7.379987868224613+2.2464061471810863j)
Alice,1990-04-21,36,41.42,True,D,(8.048378032876787+6.279238265560141j)
Bob,1990-04-22,18,26.67,True,B,(5.865846971312073+7.498673239964595j)
Charlie,1990-04-23,69,14.12,True,A,(2.8638966574717575+7.8858886480087005j)
David,1990-04-24,41,19.95,True,D,(6.583497440041676+9.725852424773107j)
Eve,1990-04-25,34,16.6,False,B,(7.095814525722663+8.588995889263002j)
Alice,1990-04-26,42,47.51,True,A,(4.303329217004835+4.218360470513165j)
Bob,1990-04-27,50,83.33,False,D,(3.192083954345142+3.3963937033447675j)
Charlie,1990-04-28,36,5.27,True,B,(9.58817483306822+1.3183326874531591j)
David,1990-04-29,20,35.86,True,D,(7.699200422760952+1.5113657952990764j)
Eve,1990-04-30,54,30.49,False,C,(7.543506096052987+3.9552630134657827j)
Alice,1990-05-01,61,57.48,False,C,(5.728034563670412+4.024919330344853j)
Bob,1990-05-02,53,82.79,True,A,(7.423660737728634+6.284492570564298j)
Charlie,1990-05-03,60,22.66,False,B,(2.1540181142806767+1.1102726250093429j)
David,1990-05-04,67,21.44,False,D,(7.225356646406709+7.179640807689806j)
Eve,1990-05-05,50,17.05,True,D,(9.939006973425649+3.598886685199996j)
Alice,1990-05-06,48,34.19,False,C,(9.731568840265151+7.826820131170212j)
Bob,1990-05-07,68,18.76,True,C,(4.393209475759406+1.5213439099718704j)
Charlie,1990-05-08,47,45.33,False,C,(3.094847651195495+2.446923619357993j)
David,1990-05-09,36,97.54,True,B,(2.293894855985781+7.446960794844027j)
Eve,1990-05-10,39,91.6,False,D,(7.804516215080056+3.5907409455550234j)
Alice,1990-05-11,19,97.52,False,B,(8.489117685347928+5.393779088288071j)
Bob,1990-05-12,49,10.31,False,C,(8.973713000278032+7.925225360240071j)
Charlie,1990-05-13,29,73.73,True,D,(2.3173879375091575+4.834887923751542j)
David,1990-05-14,24,35.75,True,A,(1.036566962704324+8.91611535427592j)
Eve,1990-05-15,40,67.72,True,C,(8.409387856422999+8.586473952396185j)
Alice,1990-05-16,21,42.18,False,C,(4.038176566148238+6.013726843596474j)
Bob,1990-05-17,57,7.29,True,B,(1.8158179502022753+2.770511419145966j)
Charlie,1990-05-18,29,54.18,False,D,(8.259405613661524+9.52621595267104j)
David,1990-05-19,51,64.09,False,A,(2.48459991770413+7.5933560362197685j)
Eve,1990-05-20,21,40.89,True,B,(5.676198443244948+5.698432507665487j)
Alice,1990-05-21,43,48.25,True,D,(2.94362938190278+2.084333691841576j)
Bob,1990-05-22,49,71.68,False,B,(4.630312239557938+4.152636262346272j)
Charlie,1990-05-23,63,92.04,False,C,(9.463343123022476+5.219099708250745j)
David,1990-05-24,45,46.21,False,A,(7.563570628561649+9.801155273163436j)
Eve,1990-05-25,45,36.32,True,D,(4.544228818392986+5.559436259582684j)
Alice,1990-05-26,55,41.23,True,B,(9.895769902431244+9.05048472073299j)
Bob,1990-05-27,57,90.8,False,B,(8.57040962002609+5.425986115006071j)
Charlie,1990-05-28,55,4.64,False,D,(7.375110586331811+5.453768539153513j)
David,1990-05-29,66,67.09,False,C,(6.503216241681004+3.8887020882023458j)
Eve,1990-05-30,50,30.51,True,D,(5.064228983180585+8.538216707746047j)
Alice,1990-05-31,57,39.89,True,A,(2.286143487843069+2.34654995883103j)
Bob,1990-06-01,42,11.7,True,C,(8.741204404004124+6.82514065246023j)
Charlie,1990-06-02,51,63.81,False,D,(5.911705838239689+6.376106897095662j)
David,1990-06-03,61,32.68,False,A,(7.633716147600327+3.4370377839912067j)
Eve,1990-06-04,55,14.0,False,A,(5.1747406694853355+3.0393512125335156j)
Alice,1990-06-05,30,16.13,True,C,(3.103998554308733+7.325795362715829j)
Bob,1990-06-06,55,90.55,True,B,(7.581765655376623+5.028876441493285j)
Charlie,1990-06-07,37,92.22,False,B,(3.0471805040565485+5.009165641277406j)
David,1990-06-08,23,36.95,False,A,(8.725847343438328+7.419023389006046j)
Eve,1990-06-09,35,92.99,False,D,(2.601964978104105+1.165405671416445j)
Alice,1990-06-10,36,87.18,False,C,(5.829325219068055+2.614781787636374j)
Bob,1990-06-11,45,56.15,True,D,(8.22720913779602+4.898535444100552j)
Charlie,1990-06-12,66,68.74,False,A,(8.062448613633263+2.8680199946094413j)
David,1990-06-13,42,82.64,False,A,(3.844136135774324+3.1437146805655662j)
Eve,1990-06-14,46,71.72,False,B,(3.075321213341502+9.739028134400114j)
Alice,1990-06-15,25,72.66,True,C,(2.937771979334616+5.66683352457793j)
Bob,1990-06-16,47,54.4,True,B,(3.9908599138199103+9.623248512616225j)
Charlie,1990-06-17,66,97.86,True,C,(4.125906746979705+7.677368867347007j)
David,1990-06-18,27,22.79,False,D,(2.3045557804296184+5.723347383158737j)
Eve,1990-06-19,55,14.68,True,C,(1.7820848864349723+1.9743497639351186j)
Alice,1990-06-20,62,72.73,True,D,(1.294065305686681+8.813744494638119j)
Bob,1990-06-21,66,40.53,True,B,(1.916189077606933+8.695241643669828j)
Charlie,1990-06-22,19,29.67,False,C,(3.8450316002815774+6.654492678386356j)
David,1990-06-23,18,31.15,True,C,(3.1248310502244308+1.1477601157812405j)
Eve,1990-06-24,68,21.71,False,C,(7.952777057202264+4.392801059936233j)
Alice,1990-06-25,42,62.97,True,B,(7.581422471645081+3.2614621846567555j)
Bob,1990-06-26,68,96.5,True,D,(6.223588935346884+6.678488700487774j)
Charlie,1990-06-27,41,1.6,True,B,(3.1376168881010797+6.573842368259492j)
David,1990-06-28,66,27.18,True,A,(7.185778847734729+7.588331920525135j)
Eve,1990-06-29,48,58.57,True,D,(6.247191818127557+4.868153462712651j)
Alice,1990-06-30,58,28.3,True,D,(7.627796639552124+6.944102772593213j)
Bob,1990-07-01,58,39.3,False,A,(2.493231897146714+4.546213149262419j)
Charlie,1990-07-02,32,27.77,True,A,(8.334590610311697+5.833276052442694j)
David,1990-07-03,39,30.19,False,D,(6.843607199521686+8.258666337261555j)
Eve,1990-07-04,28,39.59,True,A,(9.057602071808372+4.357308987031521j)
Alice,1990-07-05,69,71.27,True,B,(2.322309254853941+7.001001755324511j)
Bob,1990-07-06,33,51.1,True,A,(8.864422982525824+2.7403678172941515j)
Charlie,1990-07-07,34,73.73,True,C,(2.516808575753641+7.00258623535907j)
David,1990-07-08,21,10.56,True,D,(3.5811005529076407+2.8128647234366038j)
Eve,1990-07-09,37,38.45,True,B,(9.976544554982555+5.499317391970518j)
Alice,1990-07-10,47,98.49,True,C,(1.0954557995384584+2.6945574800230863j)
Bob,1990-07-11,20,7.45,True,C,(3.9333886025552705+6.010112533524146j)
Charlie,1990-07-12,55,56.58,False,C,(2.8690917618481038+8.579956428090725j)
David,1990-07-13,55,20.44,False,A,(4.13872531435679+6.827937740537719j)
Eve,1990-07-14,30,40.34,True,D,(4.815685852634441+3.1130725401297505j)
Alice,1990-07-15,63,84.94,True,D,(4.412691425912407+8.002339734590764j)
Bob,1990-07-16,47,24.1,True,C,(4.391480332183297+5.914780225167776j)
Charlie,1990-07-17,31,10.62,False,C,(1.2907619036940297+4.618470560437122j)
David,1990-07-18,61,82.09,False,B,(6.14138642021986+2.553121776877866j)
Eve,1990-07-19,18,4.33,True,C,(8.792075732429366+8.633202601457672j)
Alice,1990-07-20,46,63.43,False,D,(7.795365875862113+6.05734515998687j)
Bob,1990-07-21,26,28.95,True,D,(5.816186998970598+8.129580155831963j)
Charlie,1990-07-22,41,51.66,False,A,(2.4575538288836385+9.821456691420337j)
David,1990-07-23,36,24.22,False,B,(2.0455763258667616+4.0635209121204845j)
Eve,1990-07-24,49,73.14,False,D,(7.9693703577237684+2.588725635859082j)
Alice,1990-07-25,51,20.76,True,C,(7.398324006949212+4.59158585349641j)
Bob,1990-07-26,69,22.0,False,C,(2.4969177329579675+1.372067121423992j)
Charlie,1990-07-27,18,71.74,False,D,(6.411292764956022+1.4254423691012237j)
David,1990-07-28,23,5.86,True,C,(6.004999448705477+2.791963863053661j)
Eve,1990-07-29,68,76.27,False,B,(6.340710522663016+6.177577124472618j)
Alice,1990-07-30,38,26.15,False,D,(3.8526223482271686+3.6366195946580198j)
Bob,1990-07-31,37,79.3,False,B,(4.39980813371243+7.871539446103823j)
Charlie,1990-08-01,38,21.74,True,A,(9.857068222211662+2.0799964563949125j)
David,1990-08-02,56,8.92,False,B,(4.587927767884397+7.8825160344059375j)
Eve,1990-08-03,53,52.36,True,C,(8.820684195665796+3.5808427397129576j)
Alice,1990-08-04,47,49.18,True,B,(9.934614960996873+7.896229356722598j)
Bob,1990-08-05,45,9.12,False,C,(7.430954590738555+2.327846507492665j)
Charlie,1990-08-06,38,98.68,False,C,(1.74100245343927+6.671085291673176j)
David,1990-08-07,50,47.32,True,C,(2.7615174089567804+3.0064808344916614j)
Eve,1990-08-08,38,58.93,True,A,(3.279658276174297+5.304342487265076j)
Alice,1990-08-09,25,40.2,False,B,(7.952235143820562+9.388542548572905j)
Bob,1990-08-10,36,70.57,True,D,(9.177184627183879+4.652951225643184j)
Charlie,1990-08-11,30,52.38,True,B,(5.280845342255459+3.053581971836927j)
David,1990-08-12,19,39.81,False,D,(6.29097279599513+2.9640664681792903j)
Eve,1990-08-13,43,40.95,False,C,(4.29793048367733+4.607069464133711j)
Alice,1990-08-14,34,46.59,False,C,(3.1356719110024995+5.235431397222515j)
Bob,1990-08-15,69,1.56,True,C,(8.023864572666653+1.3851853449516147j)
Charlie,1990-08-16,69,7.04,False,A,(5.139982523562718+7.77680737966884j)
David,1990-08-17,43,32.43,False,B,(4.162534937546722+5.007906684576657j)
Eve,1990-08-18,47,59.29,True,A,(4.948129620474889+5.2638894921218j)
Alice,1990-08-19,60,40.41,True,D,(7.4661807427237425+9.806298517402842j)
Bob,1990-08-20,53,5.09,True,B,(5.148011602790044+2.0705603598400018j)
Charlie,1990-08-21,47,8.6,False,C,(1.5102550564199062+4.63292267969789j)
David,1990-08-22,66,72.22,True,C,(9.002861164387653+3.642144513056291j)
Eve,1990-08-23,46,19.49,False,A,(3.0538062594370383+7.021311757050691j)
Alice,1990-08-24,24,3.41,True,C,(4.667891986716208+8.473199714106425j)
Bob,1990-08-25,23,49.47,True,C,(3.7614426082819197+6.753828056671367j)
Charlie,1990-08-26,39,17.96,False,B,(7.745306811823235+5.937248221207021j)
David,1990-08-27,48,45.27,True,B,(5.238965420550524+8.985134546044733j)
Eve,1990-08-28,25,80.25,False,B,(1.17005385882299+4.994705024445273j)
Alice,1990-08-29,64,66.96,False,A,(7.235018260086646+3.443441495394758j)
Bob,1990-08-30,31,27.21,True,D,(4.973150972418792+4.65215063201212j)
Charlie,1990-08-31,37,81.98,True,A,(5.9974505899429875+3.778405257117139j)
David,1990-09-01,18,25.03,False,A,(1.3766333417647814+1.7521581800754733j)
Eve,1990-09-02,64,62.7,True,B,(4.401598489236768+6.04620768407611j)
Alice,1990-09-03,41,35.94,False,B,(2.5956250679885606+1.6508143348352198j)
Bob,1990-09-04,55,26.69,True,C,(7.336533113426444+5.911677661588104j)
Charlie,1990-09-05,23,1.17,True,B,(7.136589576428856+9.522666046981133j)
David,1990-09-06,61,49.81,False,D,(1.2956369787097772+7.999373253130966j)
Eve,1990-09-07,21,88.52,True,D,(1.834149423972993+2.0470998177006j)
Alice,1990-09-08,48,8.77,True,D,(3.594710586028744+6.087724386639818j)
Bob,1990-09-09,55,44.47,False,B,(2.0626440796314+9.52424970493595j)
Charlie,1990-09-10,66,52.59,True,C,(4.245874421559724+6.041008738527832j)
David,1990-09-11,40,53.5,False,B,(2.6885893170483968+5.798543714053948j)
Eve,1990-09-12,30,17.47,True,C,(8.337713885928581+3.7706420847530735j)
Alice,1990-09-13,21,72.68,True,D,(1.2835810412021758+6.852514529558556j)
Bob,1990-09-14,60,92.24,False,D,(7.358818620181443+5.67589656849634j)
Charlie,1990-09-15,66,15.1,False,D,(3.309464840521694+7.582408131896701j)
David,1990-09-16,48,13.3,True,C,(2.6749808616784607+9.767369361989209j)
Eve,1990-09-17,20,47.48,True,C,(4.178892896122905+6.66708985383421j)
Alice,1990-09-18,32,62.02,True,D,(1.2655450476748+4.542918356070694j)
Bob,1990-09-19,46,89.43,False,C,(7.334644558992786+4.447398650898803j)
Charlie,1990-09-20,25,44.24,True,C,(6.085782368042015+2.0926396971615704j)
David,1990-09-21,32,39.88,True,A,(2.0825904120281287+3.1285918047877033j)
Eve,1990-09-22,62,25.21,True,A,(1.1383228057134724+7.727480822535482j)
Alice,1990-09-23,22,99.53,False,A,(2.6803368650709016+6.870665388417531j)
Bob,1990-09-24,20,4.84,True,D,(4.08449528573858+2.2787825140323443j)
Charlie,1990-09-25,45,94.92,False,A,(9.072796873450022+3.010926053166439j)
David,1990-09-26,29,10.8,True,A,(8.509756865374802+3.217469109861308j)
Eve,1990-09-27,36,23.59,True,B,(5.908391955367858+7.924430293966201j)
Alice,1990-09-28,36,93.16,True,A,(3.8365942299487843+5.868552930863884j)
Bob,1990-09-29,52,67.75,False,D,(3.589787227635273+2.8925958038699933j)
Charlie,1990-09-30,21,26.23,True,A,(5.535340655026195+7.996002431203181j)
David,1990-10-01,67,86.78,True,C,(8.251517386914225+1.7838617721898782j)
Eve,1990-10-02,63,84.69,False,A,(6.1321708826802235+3.1029639327036675j)
Alice,1990-10-03,43,13.31,False,A,(7.836482510636244+7.74219995604063j)
Bob,1990-10-04,60,74.56,False,C,(7.252636434111668+1.9790477153014667j)
Charlie,1990-10-05,27,8.58,False,D,(2.4068179023030227+6.037633713380198j)
David,1990-10-06,56,20.31,False,A,(1.86030741908495+1.833405921725475j)
Eve,1990-10-07,21,73.52,False,B,(9.706351000682114+8.43822685995072j)
Alice,1990-10-08,48,78.67,False,C,(8.768376561243594+5.946514815755917j)
Bob,1990-10-09,35,19.82,True,A,(5.392141274674819+9.926804077834085j)
Charlie,1990-10-10,43,54.31,True,B,(6.566495683612396+1.1954861574153972j)
David,1990-10-11,34,46.35,True,C,(5.22631273972573+7.487488246595538j)
Eve,1990-10-12,44,32.79,True,A,(6.255625423958527+8.59215774166864j)
Alice,1990-10-13,45,43.57,False,C,(5.661566564901476+1.6811513357421908j)
Bob,1990-10-14,66,54.19,True,D,(8.274857066841834+3.109240064036864j)
Charlie,1990-10-15,32,17.43,False,C,(3.222976428522808+6.916992503780548j)
David,1990-10-16,37,29.85,False,B,(3.344806236071448+8.779664162171652j)
Eve,1990-10-17,57,7.6,False,B,(6.445365513683753+2.2250040781185128j)
Alice,1990-10-18,50,29.36,False,B,(4.1883210159478494+6.280011914925258j)
Bob,1990-10-19,46,8.98,True,D,(8.111996118800725+6.388555079132575j)
Charlie,1990-10-20,66,98.11,False,B,(4.886670870787143+2.950311719979436j)
David,1990-10-21,45,64.62,True,D,(9.756342584087365+6.913893037290334j)
Eve,1990-10-22,26,6.72,False,A,(4.228816272712787+5.930655570216915j)
Alice,1990-10-23,40,43.19,True,A,(8.842787407839197+6.873015719969876j)
Bob,1990-10-24,67,23.22,False,A,(3.4586096988753923+7.4856715280262j)
Charlie,1990-10-25,44,15.21,True,C,(8.429861740978964+9.22214317043646j)
David,1990-10-26,21,7.15,False,D,(5.512382907430986+9.522074103151157j)
Eve,1990-10-27,39,70.42,False,D,(4.062195193728531+3.7353914453072163j)
Alice,1990-10-28,49,1.42,True,A,(8.941309166866539+2.54810610350667j)
Bob,1990-10-29,51,5.12,False,B,(9.74627046607585+6.0355357899329025j)
Charlie,1990-10-30,69,18.63,True,C,(4.73354578135465+9.216245536293965j)
David,1990-10-31,39,67.88,False,B,(2.4823256153111677+3.9066825158201306j)
Eve,1990-11-01,33,14.43,True,B,(9.508324184284868+9.902668371184713j)
Alice,1990-11-02,55,97.74,False,D,(5.9055024827546125+5.713772051846973j)
Bob,1990-11-03,33,31.51,False,B,(8.09114167097298+5.024137599176471j)
Charlie,1990-11-04,56,57.43,True,B,(3.0516624892703015+4.217307072937709j)
David,1990-11-05,61,21.53,True,C,(7.349824444124885+7.09225633581009j)
Eve,1990-11-06,28,36.84,True,A,(2.5667097568596913+1.4065585145457309j)
Alice,1990-11-07,52,57.8,True,B,(8.629863526296742+7.982559849500885j)
Bob,1990-11-08,36,26.16,True,A,(3.4771055492886096+3.661721867731296j)
Charlie,1990-11-09,45,76.26,False,B,(6.950621337314649+1.8432729191739945j)
David,1990-11-10,24,47.05,True,C,(4.579793813971566+2.3856343708465895j)
Eve,1990-11-11,62,61.0,True,C,(8.200089333720452+1.491975867826997j)
Alice,1990-11-12,32,85.31,True,D,(7.174225279715504+3.2898251165862926j)
Bob,1990-11-13,32,13.71,True,C,(3.6402752099521463+2.7066060065201274j)
Charlie,1990-11-14,45,38.42,True,A,(3.3179839397457735+7.353244763122393j)
David,1990-11-15,56,59.97,False,A,(8.060678428469291+9.277473838381123j)
Eve,1990-11-16,53,61.99,True,C,(8.66028399878534+6.607776544845389j)
Alice,1990-11-17,68,72.7,False,A,(9.935909612785148+5.2694431809406606j)
Bob,1990-11-18,51,86.08,True,C,(5.2942748339234305+2.260215049241894j)
Charlie,1990-11-19,33,24.6,True,A,(7.578831384354657+2.506556044906577j)
David,1990-11-20,62,90.26,False,B,(4.699724004772372+7.229789433748008j)
Eve,1990-11-21,44,62.86,False,C,(1.2420334610933927+4.711087656029482j)
Alice,1990-11-22,36,41.88,False,A,(9.086916258949254+6.707046939548367j)
Bob,1990-11-23,39,34.22,False,A,(8.495074336674211+1.921284143968212j)
Charlie,1990-11-24,32,34.0,True,C,(1.7909324070652348+9.437896744500723j)
David,1990-11-25,47,23.45,False,B,(9.010698235077909+1.4681290117783958j)
Eve,1990-11-26,29,70.13,True,D,(1.4264142333750742+5.213390111738912j)
Alice,1990-11-27,44,71.05,True,B,(4.683779211296997+1.667277837364928j)
Bob,1990-11-28,38,36.66,True,D,(8.068536759899384+8.261618224146009j)
Charlie,1990-11-29,28,7.27,False,C,(9.85752145138805+3.9360645746318834j)
David,1990-11-30,19,49.58,False,C,(5.837944027985608+2.5310899618149914j)
Eve,1990-12-01,22,19.62,False,C,(2.785899949113718+5.6360081252830145j)
Alice,1990-12-02,51,87.06,False,D,(1.3997737701217239+2.73317249398597j)
Bob,1990-12-03,63,25.46,False,B,(6.811745357594826+2.570282073489963j)
Charlie,1990-12-04,54,48.5,True,B,(6.675252232688882+9.56632995397979j)
David,1990-12-05,26,2.52,False,C,(3.6413440157258337+4.948747653251905j)
Eve,1990-12-06,31,82.02,True,B,(8.437408999252312+6.201502164804421j)
Alice,1990-12-07,36,37.05,False,C,(3.5762234162423328+8.863021660942852j)
Bob,1990-12-08,47,4.54,True,C,(5.210391981119415+3.628178364990167j)
Charlie,1990-12-09,46,78.62,True,A,(1.9705251435705526+1.4068272148616705j)
David,1990-12-10,44,96.7,False,A,(8.045507341581347+2.955290401880328j)
Eve,1990-12-11,31,97.19,True,B,(3.9291845288680927+3.962325062368008j)
